species,site,year,visit,date,count
hl,CU12C,2014,2,7/05/2014,4
hl,CU12C,2014,3,8/05/2014,0
hl,CU12C,2015,1,29/10/2015,0
hl,CU12C,2016,1,18/02/2016,0
hl,CU12C,2021,1,8/06/2021,0
hl,CU12C,2021,2,9/06/2021,0
hl,CU12C,2021,3,10/06/2021,0
hl,CU12C,2021,4,11/06/2021,0
hl,CU12C,2021,5,9/05/2021,0
hl,CU12C,2021,6,10/05/2021,0
hl,CU12D,2009,1,20/01/2009,0
hl,CU12D,2009,2,1/03/2009,3
hl,CU12D,2009,3,4/04/2009,0
hl,CU12D,2009,4,26/06/2009,1
hl,CU12D,2010,1,15/04/2010,0
hl,CU12D,2010,2,17/04/2010,0
hl,CU12D,2010,3,29/05/2010,0
hl,CU12D,2010,4,19/06/2010,5
hl,CU12D,2010,5,17/04/2010,1
hl,CU12D,2010,6,17/07/2010,0
hl,CU12D,2014,1,8/05/2014,0
hl,CU12D,2014,2,9/05/2014,3
hl,CU12D,2014,3,14/05/2014,0
hl,CU12D,2015,1,29/10/2015,0
hl,CU12D,2021,1,9/05/2021,2
hl,CU12D,2021,2,9/06/2021,1
hl,CU12D,2021,3,10/06/2021,2
hl,CU12D,2021,4,11/06/2021,1
hl,CU12D,2021,5,12/06/2021,1
hl,CU12D,2021,6,13/06/2021,0
hl,CU8A,2000,1,14/04/2000,0
hl,CU8A,2000,2,15/04/2000,0
hl,CU8A,2000,3,16/04/2000,0
hl,CU8A,2000,4,2/06/2000,0
hl,CU8A,2000,5,3/06/2000,0
hl,CU8A,2004,1,22/04/2004,0
hl,CU8A,2004,2,14/07/2004,0
hl,CU8A,2004,3,13/10/2004,0
hl,CU8A,2004,4,14/10/2004,0
hl,CU8A,2004,5,15/10/2004,0
hl,CU8A,2004,6,16/10/2004,0
hl,CU8A,2005,1,17/06/2005,0
hl,CU8A,2005,2,18/06/2005,0
hl,CU8A,2005,3,19/06/2005,0
hl,CU8A,2006,1,23/06/2006,0
hl,CU8A,2006,2,24/06/2006,0
hl,CU8A,2006,3,25/06/2006,0
hl,CU8A,2007,1,4/04/2007,0
hl,CU8A,2007,2,5/04/2007,0
hl,CU8A,2008,1,15/06/2008,0
hl,CU8A,2009,1,31/03/2009,0
hl,CU8A,2009,2,1/04/2009,0
hl,CU8A,2010,1,12/04/2010,0
hl,CU8A,2010,2,13/04/2010,0
hl,CU8A,2010,3,14/04/2010,0
hl,CU8A,2011,1,1/09/2011,0
hl,CU8A,2012,1,4/12/2012,0
hl,CU8A,2012,2,5/12/2012,0
hl,CU8A,2013,1,27/04/2013,0
hl,CU8A,2014,1,25/03/2014,0
hl,CU8A,2015,1,26/10/2015,0
hl,CU8A,2016,1,15/02/2016,0
hl,CU8A,2021,1,8/06/2021,0
hl,CU8A,2021,2,17/10/2021,0
hl,G5,1996,1,9/03/1996,9
hl,G5,1996,2,10/03/1996,8
hl,G5,1997,1,15/04/1997,7
hl,G5,2021,1,8/11/2021,4
hl,G5,2021,2,9/11/2021,4
hl,G5,2021,3,11/11/2021,2
hl,G5,2021,4,10/11/2021,3
hl,LU11A,1995,1,5/05/1995,3
hl,LU11A,1995,2,6/05/1995,8
hl,LU11A,1996,1,3/07/1996,5
hl,LU11A,2009,1,15/10/2009,5
hl,LU11A,2010,1,5/04/2010,1
hl,LU11A,2010,2,6/04/2010,0
hl,LU11A,2011,1,12/05/2011,5
hl,LU11A,2011,2,14/05/2011,4
hl,LU11A,2012,1,21/01/2012,8
hl,LU11A,2012,2,21/01/2012,8
hl,LU11A,2012,3,23/01/2012,2
hl,LU11A,2012,4,23/01/2012,2
hl,LU11A,2012,5,4/07/2012,3
hl,LU11A,2012,6,5/07/2012,6
hl,LU11A,2013,1,10/07/2013,2
hl,LU11A,2013,2,11/07/2013,3
hl,LU11A,2014,1,9/07/2014,3
hl,LU11A,2014,2,10/07/2014,5
hl,LU11A,2015,1,30/03/2015,0
hl,LU11A,2015,2,8/07/2015,2
hl,LU11A,2017,3,14/10/2017,7
hl,LU11A,2021,1,16/03/2021,1
hl,LU11A,2021,2,18/03/2021,4
hl,LU11A,2021,3,30/08/2021,7
hl,LU11A,2021,4,2/09/2021,3
hl,LU7A,2009,1,19/10/2009,0
hl,LU7A,2009,2,20/10/2009,0
hl,LU7A,2010,1,6/04/2010,2
hl,LU7A,2010,2,7/04/2010,0
hl,LU7A,2011,1,11/05/2011,0
hl,LU7A,2011,2,16/05/2011,1
hl,LU7A,2014,1,2/06/2014,0
hl,LU7A,2015,1,5/04/2015,0
hl,LU7A,2017,1,6/10/2017,0
hl,LU7A,2021,1,15/03/2021,0
hl,LU7A,2021,2,18/03/2021,0
hl,LU7A,2021,3,1/09/2021,0
hl,LU7A,2021,4,2/09/2021,0
hl,LU9A,2009,1,15/10/2009,2
hl,LU9A,2010,1,5/04/2010,3
hl,LU9A,2010,2,6/04/2010,4
hl,LU9A,2010,3,7/04/2010,6
hl,LU9A,2011,1,12/05/2011,5
hl,LU9A,2011,2,14/05/2011,6
hl,LU9A,2012,1,21/01/2012,0
hl,LU9A,2012,2,21/01/2012,0
hl,LU9A,2012,3,4/07/2012,6
hl,LU9A,2012,4,5/07/2012,6
hl,LU9A,2014,1,10/07/2014,6
hl,LU9A,2014,2,9/07/2014,7
hl,LU9A,2015,1,2/04/2015,3
hl,LU9A,2015,2,4/04/2015,4
hl,LU9A,2017,1,11/10/2017,0
hl,LU9A,2021,1,16/03/2021,3
hl,LU9A,2021,2,16/03/2021,1
